# STATION: KIGQ
# STATION NAME: Lansing Municipal Airport
# LATITUDE: 41.54125
# LONGITUDE: -87.52822
# ELEVATION [ft]: 607
# STATE: IL
Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,dew_point_temperature_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,weather_cond_code_set_1,cloud_layer_3_code_set_1,precip_accum_one_hour_set_1,precip_accum_three_hour_set_1,cloud_layer_1_code_set_1,cloud_layer_2_code_set_1,precip_accum_six_hour_set_1,precip_accum_24_hour_set_1,visibility_set_1,metar_remark_set_1,metar_set_1,air_temp_high_6_hour_set_1,air_temp_low_6_hour_set_1,ceiling_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d,weather_condition_set_1d
,,INHG,Fahrenheit,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,code,code,Inches,Inches,code,code,Inches,Inches,Statute miles,text,text,Fahrenheit,Fahrenheit,Feet,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,Code,INHG,INHG,Fahrenheit,Code
KIGQ,06/01/2014 00:15 UTC,29.42,76.64,,46.66,5.75,40.0,,,1200.0,,,1.0,340.0,,,10.0,,,,,,,,54.67,,NE,28.78,27.98,,N/A
KIGQ,06/01/2014 00:35 UTC,29.43,75.74,,47.76,5.75,30.0,,,,,,331.0,600.0,,,10.0,,,,,,,,54.48,,NNE,28.79,28.01,,N/A
KIGQ,06/01/2014 00:55 UTC,29.43,75.02,,47.65,5.75,40.0,,,750.0,,,1501.0,270.0,,,10.0,,,,,,,,53.75,,NE,28.79,28.05,,N/A
KIGQ,06/01/2014 01:15 UTC,29.43,73.58,,50.33,3.44,40.0,,,,,,1.0,,,,10.0,,,,,,,,53.92,,NE,28.79,28.05,,Clear
KIGQ,06/01/2014 01:35 UTC,29.43,72.68,,51.88,0.0,0.0,,,,,,1201.0,,,,10.0,,,,,,,,53.92,,N,28.79,28.06,,Clear
KIGQ,06/01/2014 01:55 UTC,29.43,71.96,,53.15,0.0,0.0,,,,,,1.0,410.0,,,10.0,,,,,,,,53.91,,N,28.79,28.06,,N/A
KIGQ,06/01/2014 02:15 UTC,29.43,71.06,,55.88,0.0,0.0,,,,,,1201.0,,,,10.0,,,,,,,,54.45,,N,28.79,28.05,,Clear
KIGQ,06/01/2014 02:35 UTC,29.43,69.62,,59.46,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,54.81,,N,28.79,28.05,,Clear
KIGQ,06/01/2014 02:55 UTC,29.44,68.9,,62.56,0.0,0.0,,,,,,1401.0,,,,10.0,,,,,,,,55.53,,N,28.8,28.03,,Clear
KIGQ,06/01/2014 03:15 UTC,29.44,69.26,,61.39,0.0,0.0,,,390.0,,,1.0,280.0,,,10.0,,,,,,,,55.35,,N,28.8,28.03,,N/A
KIGQ,06/01/2014 03:35 UTC,29.45,67.64,,67.04,0.0,0.0,,,,,,1.0,280.0,,,10.0,,,,,,,,56.25,,N,28.81,28.02,,N/A
KIGQ,06/01/2014 03:55 UTC,29.45,64.94,,74.09,0.0,0.0,,,,,,901.0,,,,10.0,,,,,,,,56.43,,N,28.81,28.04,,Clear
KIGQ,06/01/2014 04:15 UTC,29.44,64.4,,77.48,0.0,0.0,,,,,,1.0,,,,10.0,,,,,,,,57.16,,N,28.8,28.0,,Clear
KIGQ,06/01/2014 04:35 UTC,29.45,63.68,,74.94,0.0,0.0,,,,,,1.0,320.0,,,10.0,,,,,,,,55.53,,N,28.81,28.09,,N/A
KIGQ,06/01/2014 04:55 UTC,29.45,64.04,,81.56,3.44,120.0,,,,,,1101.0,,,,10.0,,,,,,,,58.24,,ESE,28.81,27.96,,Clear
KIGQ,06/01/2014 05:15 UTC,29.45,63.86,,79.47,0.0,0.0,,,600.0,,,1.0,400.0,,,10.0,,,,,,,,57.34,,N,28.81,28.01,,N/A
KIGQ,06/01/2014 05:35 UTC,29.45,62.78,,80.95,4.61,130.0,,,1000.0,,,1.0,700.0,,,10.0,,,,,,,,56.8,,SE,28.81,28.05,,N/A
